"","farmer_num","village","treatment","survey","temp_c","humidity_percent","ground_cover_percent","ose_num","att_mil","yield","datetime","ose_num_adj","att_mil_adj"
"66","9","Gossas","control","s2",35.2,57.3,15,6,0,NA,2019-09-21 13:10:00,5,0
"67","9","Gossas","control","s3",34.2,67.8,15,13,0,NA,2019-10-10 12:05:00,11,0
"68","9","Gossas","control","s4",NA,NA,NA,NA,NA,302,NA,NA,NA
"69","9","Gossas","fertilized","s1",34.9,53.2,45,37,NA,NA,2019-09-02 17:40:00,31,NA
"70","9","Gossas","fertilized","s2",35.2,57.3,45,10,0.01,NA,2019-09-21 13:15:00,8,0.0085
"71","9","Gossas","fertilized","s3",34.2,67.8,45,18,NA,NA,2019-10-10 12:12:00,15,NA
"72","9","Gossas","fertilized","s4",NA,NA,NA,NA,NA,436,NA,NA,NA
"73","10","Gossas","control","s1",32,80,40,44,0.05,NA,2019-09-02 16:45:00,37,0.0425
"74","10","Gossas","control","s2",34.2,64.4,65,16,NA,NA,2019-09-22 11:30:00,14,NA
"75","10","Gossas","control","s3",33.6,65,65,11,NA,NA,2019-10-09 15:32:00,9,NA
"76","10","Gossas","control","s4",NA,NA,NA,NA,NA,50,NA,NA,NA
"77","10","Gossas","fertilized","s1",32,80,45,100,0.03,NA,2019-09-02 16:45:00,85,0.0255
"78","10","Gossas","fertilized","s2",34.2,64.4,60,12,NA,NA,2019-09-22 11:45:00,10,NA
"79","10","Gossas","fertilized","s3",33.6,65,60,4,NA,NA,2019-10-09 15:45:00,3,NA
"80","10","Gossas","fertilized","s4",NA,NA,NA,NA,NA,100,NA,NA,NA
"81","11","Gossas","control","s1",35.3,57.8,50,28,NA,NA,2019-09-03 10:08:00,24,NA
"82","11","Gossas","control","s2",37.6,49.8,50,7,NA,NA,2019-09-21 16:49:00,6,NA
"83","11","Gossas","control","s3",33.9,64.9,50,9,NA,NA,2019-10-10 10:21:00,8,NA
"84","11","Gossas","control","s4",NA,NA,NA,NA,NA,1400,NA,NA,NA
"85","11","Gossas","fertilized","s1",35.3,57.8,60,38,NA,NA,2019-09-03 10:08:00,32,NA
"86","11","Gossas","fertilized","s2",37.6,49.8,60,10,NA,NA,2019-09-21 10:53:00,8,NA
"87","11","Gossas","fertilized","s3",33.9,64.9,60,4,NA,NA,2019-10-10 10:09:00,3,NA
"88","11","Gossas","fertilized","s4",NA,NA,NA,NA,NA,2216,NA,NA,NA
"89","12","Gossas","control","s1",29.9,74,40,25,0.05,NA,2019-09-05 10:25:00,21,0.0425
"90","12","Gossas","control","s2",31.4,74,45,12,NA,NA,2019-09-23 08:25:00,10,NA
"91","12","Gossas","control","s3",34,67,45,16,0.05,NA,2019-10-10 09:08:00,14,0.0425
"92","12","Gossas","control","s4",NA,NA,NA,NA,NA,190,NA,NA,NA
"93","12","Gossas","fertilized","s1",29.9,74,50,32,0.01,NA,2019-09-05 10:30:00,27,0.0085
"94","12","Gossas","fertilized","s2",31.5,73.8,40,5,NA,NA,2019-09-23 08:30:00,4,NA
"95","12","Gossas","fertilized","s3",34,67,40,5,NA,NA,2019-10-10 09:19:00,4,NA
"96","12","Gossas","fertilized","s4",NA,NA,NA,NA,NA,390,NA,NA,NA
"97","13","Gossas","control","s1",36.9,52.3,30,38,NA,NA,2019-09-03 11:30:00,32,NA
"98","13","Gossas","control","s2",31.6,72.3,65,9,NA,NA,2019-09-23 09:48:00,8,NA
"99","13","Gossas","control","s3",36.4,71,65,22,0.05,NA,2019-10-12 16:48:00,19,0.0425
"100","13","Gossas","control","s4",NA,NA,NA,NA,NA,160,NA,NA,NA
"101","13","Gossas","fertilized","s1",36.9,52.3,50,18,NA,NA,2019-09-03 11:00:00,15,NA
"102","13","Gossas","fertilized","s2",32,73,45,6,NA,NA,2019-09-23 09:30:00,5,NA
"103","13","Gossas","fertilized","s3",36.4,71,45,20,0.05,NA,2019-10-12 16:59:00,17,0.0425
"104","13","Gossas","fertilized","s4",NA,NA,NA,NA,NA,1126,NA,NA,NA
"105","14","Gossas","control","s1",33.6,58.3,45,28,NA,NA,2019-09-03 09:45:00,24,NA
