term,estimate,std.error,statistic,p.value,type
(Intercept),3.011,0.097,30.896,0,Parametric
fertilized,-0.517,0.074,-6.937,0,Parametric
s3,0.096,0.074,1.29,0.198,Parametric
s(village),1,NA,0.68,0.229,Non-parametric
s(farmer_num),1,NA,2.752,0.123,Non-parametric
