term,estimate,std.error,statistic,p.value,type
(Intercept),-2.546,0.112,-22.711,0,Parametric
fertilized,-1.083,0.205,-5.284,0,Parametric
s(survey),1,NA,0.006,0.318,Non-parametric
s(village),1,NA,0,0.57,Non-parametric
s(farmer_num),1,NA,0,0.663,Non-parametric
