"","farmer_num","village","treatment","yield","latitude","longitude","mission","temp_c","humidity_percent","ground_cover_percent","ose_num","att_mil","datetime","ose_num_adj","att_mil_adj","geometry"
"1","58","Gniby","control",285,16.0570335388184,-114.673446655273,"m2",NA,NA,NA,NA,NA,NA,NA,NA,c(-114.673446655273, 16.0570335388184)
"2","58","Gniby","control",285,16.0570335388184,-114.673446655273,"m3",NA,NA,NA,NA,NA,NA,NA,NA,c(-114.673446655273, 16.0570335388184)
"3","58","Gniby","fertilized",1170,16.0570335388184,-114.673446655273,"m2",29,72,35,7,NA,2019-09-24 08:05:00,6,NA,c(-114.673446655273, 16.0570335388184)
"4","58","Gniby","fertilized",1170,16.0570335388184,-114.673446655273,"m3",38,44,80,16,NA,2019-10-11 10:20:00,14,NA,c(-114.673446655273, 16.0570335388184)
"5","95","Gniby","control",NA,16.0097827911377,-21.7503833770752,"m2",30,71,50,10,NA,2019-09-25 09:07:00,9,NA,c(-21.7503833770752, 16.0097827911377)
"6","95","Gniby","control",NA,16.0097827911377,-21.7503833770752,"m3",32,70,60,5,NA,2019-10-12 09:07:00,4,NA,c(-21.7503833770752, 16.0097827911377)
